e.emp_id,e.name,e.age,e.job_role,e.salary,e.project,e.join_date,e.department
6,Abigail Palmer,26,Engineer,118762.47,Gamma,1990-06-16,Finance
8,Karen Lopez,55,Analyst,114393.23,Omega,1984-01-13,Finance
12,Emily Gilmore,26,Manager,140047.53,Project1,1989-10-17,Finance
18,Robert Roy,54,Manager,125792.07,Alpha,2011-02-10,Finance
20,Isaac Walker,38,Consultant,112534.72,Omega,1988-03-04,Finance
27,Sabrina Thomas,46,Manager,117703.61,Project6,2003-11-25,Finance
40,Nicole Carr,34,Analyst,149250.66,Alpha,1973-11-20,Finance
51,Alan Nunez,47,Analyst,102071.51,Beta,1997-07-27,Finance
54,Samantha Mendez,22,Consultant,126540.96,Omega,2019-04-05,Finance
67,Ronald Cruz DDS,25,Manager,133667.67,Alpha,1983-07-05,Finance
87,Jacqueline Ramirez,56,Consultant,146426.86,Project3,1984-05-01,Finance
101,Calvin Nichols,29,Developer,110937.58,Project4,1980-04-19,Finance
108,Joseph Jones,52,Developer,116598.59,Project5,2019-10-08,Finance
114,Jillian Fitzgerald,60,Consultant,143146.22,Project1,2019-12-20,Finance
119,Andrew Perry,44,Manager,117786.18,Project1,1999-03-22,Finance
126,Courtney Benton,55,Analyst,133776.78,Delta,2019-03-26,Finance
129,Erin Bennett,31,Manager,145488.37,Delta,2014-09-06,Finance
140,Brandon Miller,47,Consultant,121242.6,Project6,2011-08-31,Finance
155,Michelle Padilla,38,Developer,133745.46,Project3,2017-09-10,Finance
168,Melissa Williams,56,Manager,133514.18,Delta,2015-10-03,Finance
194,James Jones,60,Consultant,102735.26,Gamma,2000-08-30,Finance
202,Judy Walker,29,Developer,130884.56,Alpha,1993-02-26,Finance
207,Gina Thomas,53,Analyst,126598.55,Omega,1986-04-27,Finance
216,Katie Myers,50,Manager,135189.66,Gamma,1994-08-19,Finance
218,Robert Martinez,37,Developer,136200.83,Alpha,1998-08-30,Finance
232,Michael Gonzalez,36,Engineer,105935.11,Project4,2021-06-20,Finance
241,Joshua Garrison,25,Analyst,127649.28,Project4,1995-10-06,Finance
244,Miguel Fleming,26,Developer,132394.63,Gamma,1999-09-11,Finance
250,Nicole Chapman,58,Consultant,113859.59,Project1,1976-11-21,Finance
260,David Martinez,43,Developer,136304.22,Project2,1997-11-22,Finance
267,Travis Meadows,39,Consultant,100901.01,Omega,1970-12-31,Finance
289,Shannon Stephens,57,Analyst,120911.35,Delta,2005-10-27,Finance
292,Julie Castro,56,Engineer,141146.91,Project6,1972-09-21,Finance
297,Angela Strickland,47,Analyst,126287.54,Beta,2024-03-28,Finance
299,Jordan Simpson,49,Analyst,145375.62,Alpha,2023-10-24,Finance
308,Lucas Coleman,37,Manager,103403.77,Alpha,2020-05-19,Finance
314,Ronald Jones,46,Consultant,105570.03,Project3,2010-08-29,Finance
315,Lisa Liu,25,Manager,143509.39,Gamma,1995-09-23,Finance
333,Paul Henry,56,Developer,148165.67,Project6,1993-02-13,Finance
334,Dawn Arnold DVM,42,Manager,121555.61,Project6,1993-07-13,Finance
339,Rachel Valdez,25,Consultant,145858.07,Omega,1980-06-02,Finance
350,Michelle Perez,39,Consultant,144371.85,Project3,2012-07-10,Finance
365,Jeremy Johnson,57,Developer,123895.4,Beta,2004-06-23,Finance
367,Linda Joseph,55,Engineer,117337.58,Project4,1982-05-26,Finance
368,Susan Wilson,25,Manager,135155.8,Gamma,1994-01-30,Finance
387,Gabrielle Wilson,58,Developer,138382.72,Project4,1993-11-07,Finance
389,Stacy Poole,36,Developer,107310.78,Beta,2017-07-22,Finance
390,Shari Jennings,46,Analyst,105890.41,Project4,1994-07-01,Finance
402,Barbara Johnson,55,Consultant,143657.09,Omega,1989-07-10,Finance
404,Desiree Ward,58,Developer,137635.48,Alpha,2024-02-23,Finance
410,Laurie Miller,43,Consultant,143387.55,Omega,1979-04-02,Finance
423,Maria Anderson,33,Analyst,116544.68,Gamma,1980-03-24,Finance
431,Michael Miller,31,Manager,118581.58,Project3,1970-04-18,Finance
467,David Walter,48,Developer,105771.47,Project6,1977-05-28,Finance
470,Thomas Keller,24,Consultant,127304.6,Project1,2015-08-05,Finance
475,Adam Graham,36,Analyst,143309.82,Project4,1987-03-21,Finance
486,Julie Harris,50,Manager,120317.08,Delta,2024-02-26,Finance
487,Brittany Daniel,34,Analyst,137174.43,Delta,2005-01-09,Finance
494,John Phillips,29,Consultant,128338.36,Beta,2011-06-20,Finance
500,Philip Duncan,26,Engineer,138431.77,Omega,2013-06-12,Finance
505,Ryan Johnson,43,Consultant,121271.68,Delta,1985-04-11,Finance
517,Anthony Huerta,49,Manager,117620.44,Delta,2016-09-17,Finance
522,Lauren White,38,Developer,106843.33,Project5,2014-03-19,Finance
538,Sarah Clark,44,Consultant,114165.68,Project1,1980-04-12,Finance
540,Jason Pruitt,32,Manager,127241.78,Project2,2001-01-23,Finance
553,Hannah Parks,28,Engineer,107052.59,Omega,1996-07-15,Finance
558,Nathan Craig,46,Manager,106803.53,Alpha,1981-06-19,Finance
559,Carlos Johnston,29,Consultant,145139.78,Project3,1973-11-25,Finance
563,Scott Green,26,Engineer,128751.41,Project5,2012-02-08,Finance
575,Robert Reed,36,Engineer,144158.39,Project6,1988-11-18,Finance
597,Ronald Moore,58,Developer,105415.94,Project6,1970-08-08,Finance
615,Austin Shelton,38,Manager,134801.28,Omega,1974-10-16,Finance
