employees.emp_id,employees.name,employees.age,employees.job_role,employees.salary,employees.project,employees.join_date,employees.department
54,Samantha Mendez,22,Consultant,126540.96,Omega,2019-04-05,Finance
88,Jill Mack,38,Engineer,70912.18,Omega,2021-03-29,Finance
108,Joseph Jones,52,Developer,116598.59,Project5,2019-10-08,Finance
114,Jillian Fitzgerald,60,Consultant,143146.22,Project1,2019-12-20,Finance
126,Courtney Benton,55,Analyst,133776.78,Delta,2019-03-26,Finance
154,David Garcia,24,Analyst,42106.25,Project4,2021-06-18,Finance
155,Michelle Padilla,38,Developer,133745.46,Project3,2017-09-10,Finance
197,Carrie Smith,53,Developer,63557.37,Beta,2024-02-06,Finance
208,Ronald Lee,29,Engineer,72293.63,Project3,2021-08-18,Finance
232,Michael Gonzalez,36,Engineer,105935.11,Project4,2021-06-20,Finance
297,Angela Strickland,47,Analyst,126287.54,Beta,2024-03-28,Finance
299,Jordan Simpson,49,Analyst,145375.62,Alpha,2023-10-24,Finance
308,Lucas Coleman,37,Manager,103403.77,Alpha,2020-05-19,Finance
322,Michele Ware,57,Developer,56761.27,Project1,2020-06-19,Finance
370,William Jimenez,44,Analyst,61263.72,Project1,2022-08-24,Finance
389,Stacy Poole,36,Developer,107310.78,Beta,2017-07-22,Finance
404,Desiree Ward,58,Developer,137635.48,Alpha,2024-02-23,Finance
465,Alyssa Long,44,Developer,58767.73,Gamma,2017-10-03,Finance
486,Julie Harris,50,Manager,120317.08,Delta,2024-02-26,Finance
517,Anthony Huerta,49,Manager,117620.44,Delta,2016-09-17,Finance
589,Latasha Wallace,29,Engineer,45119.04,Project1,2016-11-26,Finance
658,Heidi Navarro,43,Consultant,88419.72,Project2,2016-03-10,Finance
761,Paul Fox,24,Consultant,107516.24,Omega,2019-12-21,Finance
774,Kurt Anderson,41,Developer,104297.31,Project5,2017-05-12,Finance
818,Vanessa Sullivan,35,Manager,126499.75,Delta,2020-04-29,Finance
865,Cheryl Martinez,32,Analyst,141988.12,Gamma,2020-07-15,Finance
901,Justin Lewis,22,Manager,69429.53,Project1,2018-04-24,Finance
969,Kevin Fox,31,Engineer,140538.08,Project6,2020-10-14,Finance
995,Gary Cole,29,Manager,51455.19,Project1,2020-08-30,Finance
54,Samantha Mendez,22,Consultant,126540.96,Omega,2019-04-05,Finance
88,Jill Mack,38,Engineer,70912.18,Omega,2021-03-29,Finance
108,Joseph Jones,52,Developer,116598.59,Project5,2019-10-08,Finance
114,Jillian Fitzgerald,60,Consultant,143146.22,Project1,2019-12-20,Finance
126,Courtney Benton,55,Analyst,133776.78,Delta,2019-03-26,Finance
154,David Garcia,24,Analyst,42106.25,Project4,2021-06-18,Finance
155,Michelle Padilla,38,Developer,133745.46,Project3,2017-09-10,Finance
197,Carrie Smith,53,Developer,63557.37,Beta,2024-02-06,Finance
208,Ronald Lee,29,Engineer,72293.63,Project3,2021-08-18,Finance
232,Michael Gonzalez,36,Engineer,105935.11,Project4,2021-06-20,Finance
297,Angela Strickland,47,Analyst,126287.54,Beta,2024-03-28,Finance
299,Jordan Simpson,49,Analyst,145375.62,Alpha,2023-10-24,Finance
308,Lucas Coleman,37,Manager,103403.77,Alpha,2020-05-19,Finance
322,Michele Ware,57,Developer,56761.27,Project1,2020-06-19,Finance
370,William Jimenez,44,Analyst,61263.72,Project1,2022-08-24,Finance
389,Stacy Poole,36,Developer,107310.78,Beta,2017-07-22,Finance
404,Desiree Ward,58,Developer,137635.48,Alpha,2024-02-23,Finance
465,Alyssa Long,44,Developer,58767.73,Gamma,2017-10-03,Finance
486,Julie Harris,50,Manager,120317.08,Delta,2024-02-26,Finance
517,Anthony Huerta,49,Manager,117620.44,Delta,2016-09-17,Finance
589,Latasha Wallace,29,Engineer,45119.04,Project1,2016-11-26,Finance
658,Heidi Navarro,43,Consultant,88419.72,Project2,2016-03-10,Finance
761,Paul Fox,24,Consultant,107516.24,Omega,2019-12-21,Finance
774,Kurt Anderson,41,Developer,104297.31,Project5,2017-05-12,Finance
818,Vanessa Sullivan,35,Manager,126499.75,Delta,2020-04-29,Finance
865,Cheryl Martinez,32,Analyst,141988.12,Gamma,2020-07-15,Finance
901,Justin Lewis,22,Manager,69429.53,Project1,2018-04-24,Finance
969,Kevin Fox,31,Engineer,140538.08,Project6,2020-10-14,Finance
995,Gary Cole,29,Manager,51455.19,Project1,2020-08-30,Finance
95,Dylan Lopez,37,Consultant,71902.75,Project5,2016-03-11,HR
120,Debbie Hernandez,41,Developer,71438.12,Project6,2024-08-27,HR
