e.emp_id,e.name,e.age,e.job_role,e.salary,e.project,e.join_date,e.department,d.location
6,Abigail Palmer,26,Engineer,118762.47,Gamma,1990-06-16,Finance,Chicago
8,Karen Lopez,55,Analyst,114393.23,Omega,1984-01-13,Finance,Chicago
12,Emily Gilmore,26,Manager,140047.53,Project1,1989-10-17,Finance,Chicago
18,Robert Roy,54,Manager,125792.07,Alpha,2011-02-10,Finance,Chicago
20,Isaac Walker,38,Consultant,112534.72,Omega,1988-03-04,Finance,Chicago
21,Joseph Pruitt,58,Consultant,67886.46,Delta,1993-04-03,Finance,Chicago
22,Jason Kelly,60,Analyst,98760.13,Project3,1999-05-08,Finance,Chicago
24,Gina Macias,49,Consultant,69897.88,Project6,2005-06-24,Finance,Chicago
27,Sabrina Thomas,46,Manager,117703.61,Project6,2003-11-25,Finance,Chicago
31,David Cameron,54,Developer,54522.13,Project1,2012-07-14,Finance,Chicago
35,Theodore Perkins,24,Developer,82795.81,Project5,1977-03-30,Finance,Chicago
37,Amanda Campbell,57,Analyst,82024.86,Delta,2003-04-09,Finance,Chicago
40,Nicole Carr,34,Analyst,149250.66,Alpha,1973-11-20,Finance,Chicago
41,Jennifer Berry,56,Analyst,52169.3,Project1,2011-09-23,Finance,Chicago
42,Alexander Miller,41,Analyst,93644.07,Project5,1979-04-17,Finance,Chicago
50,Beth Myers,56,Analyst,96572.66,Omega,1996-03-14,Finance,Chicago
51,Alan Nunez,47,Analyst,102071.51,Beta,1997-07-27,Finance,Chicago
54,Samantha Mendez,22,Consultant,126540.96,Omega,2019-04-05,Finance,Chicago
61,William Garrett,56,Analyst,65293.47,Project6,2002-05-13,Finance,Chicago
63,Christopher Chapman,30,Developer,66278.03,Delta,1993-07-30,Finance,Chicago
67,Ronald Cruz DDS,25,Manager,133667.67,Alpha,1983-07-05,Finance,Chicago
87,Jacqueline Ramirez,56,Consultant,146426.86,Project3,1984-05-01,Finance,Chicago
88,Jill Mack,38,Engineer,70912.18,Omega,2021-03-29,Finance,Chicago
101,Calvin Nichols,29,Developer,110937.58,Project4,1980-04-19,Finance,Chicago
104,Kenneth Anderson,58,Consultant,66944.13,Omega,1986-12-13,Finance,Chicago
105,Michaela Murphy,50,Consultant,96464.4,Gamma,1981-04-24,Finance,Chicago
108,Joseph Jones,52,Developer,116598.59,Project5,2019-10-08,Finance,Chicago
114,Jillian Fitzgerald,60,Consultant,143146.22,Project1,2019-12-20,Finance,Chicago
119,Andrew Perry,44,Manager,117786.18,Project1,1999-03-22,Finance,Chicago
121,Scott Williams,59,Consultant,61551.92,Project6,2012-07-05,Finance,Chicago
126,Courtney Benton,55,Analyst,133776.78,Delta,2019-03-26,Finance,Chicago
128,Rachel Harrison,55,Manager,61888.91,Project3,1999-12-18,Finance,Chicago
129,Erin Bennett,31,Manager,145488.37,Delta,2014-09-06,Finance,Chicago
140,Brandon Miller,47,Consultant,121242.6,Project6,2011-08-31,Finance,Chicago
148,Walter Soto,59,Consultant,70193.02,Beta,1990-09-02,Finance,Chicago
154,David Garcia,24,Analyst,42106.25,Project4,2021-06-18,Finance,Chicago
155,Michelle Padilla,38,Developer,133745.46,Project3,2017-09-10,Finance,Chicago
157,Daniel Harris,34,Consultant,80230.7,Gamma,1984-08-22,Finance,Chicago
163,Joshua Mendoza,26,Manager,40542.79,Delta,1992-11-08,Finance,Chicago
164,Dr. Cheryl Fitzpatrick,49,Analyst,98099.97,Project4,1997-10-22,Finance,Chicago
168,Melissa Williams,56,Manager,133514.18,Delta,2015-10-03,Finance,Chicago
172,Robert Joseph,55,Engineer,67396.63,Beta,2006-11-20,Finance,Chicago
173,Erin Mcconnell,38,Engineer,87980.31,Alpha,2009-05-06,Finance,Chicago
176,Stacey Pearson,54,Consultant,66688.77,Gamma,1975-09-28,Finance,Chicago
191,Michelle Rodriguez,28,Developer,89782.55,Gamma,1981-07-30,Finance,Chicago
194,James Jones,60,Consultant,102735.26,Gamma,2000-08-30,Finance,Chicago
